"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-06-30","JAV.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",40010,3350,40010,0,1277868,150999,2050460,0,2050460,2050460,62253,62253,0,647670,-2007100,-2654770,644320,-2010450,-582067,-2592517,0,-2592517,0,0,-2592517,0,-2592517,-0.0005,-0.0005,5301670756,5291205148
"2025-06-30","JAXAF","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",14403220,18739600,-4336380,0,10320906,1620977,11941883,-6090198,5851685,24591285,-95720,98437,194157,1068702,-9352590,-10421292,2682140,-10188065,-5576747,-15764812,78089,-15842901,0,0,-15842901,0,-15842901,-0.0134,-0.0134,1181969719,1181969719
"2025-06-30","JAY.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",2422895,2689854,-266959,0,697274,795584,1492858,3080171,4573029,7262883,-15983,0,760900,11580,-4839762,-4851342,11354,-4839988,-885334,-5725322,0,-5725322,0,0,-5725322,0,-5725322,-0.0105,-0.0105,545268761,545999134
"2025-03-31","JAYAGROGN.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",25298262000,21287066000,4011196000,13346000,24193000,964116000,988309000,-326603000,675052000,21962118000,-189201000,0,189201000,194144000,1104603000,910459000,2425685000,3336144000,-2610197000,725947000,187763000,538184000,0,0,549138000,0,549138000,18.3,18.3,30008000,30008000
"2025-03-31","JAYAGROGN.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",25298262000,21287066000,4011196000,13346000,24193000,964116000,988309000,-326603000,675052000,21962118000,-189201000,0,189201000,194144000,1104603000,910459000,2425685000,3336144000,-2610197000,725947000,187763000,538184000,0,0,549138000,0,549138000,18.3,18.3,30008000,30008000
"2025-03-31","JAYBARMARU.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",22929546000,17802539000,5127007000,0,0,0,1979486000,0,1979486000,19782025000,-358597000,0,358597000,841254000,1674809000,833555000,2313966000,3147521000,-2656912000,490609000,161482000,329127000,0,0,329127000,0,329127000,3.04,3.04,108265000,108265000
"2025-03-31","JAYBARMARU.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",22929546000,17802539000,5127007000,0,0,0,1979486000,0,1979486000,19782025000,-358597000,0,358597000,841254000,1674809000,833555000,2313966000,3147521000,-2656912000,490609000,161482000,329127000,0,0,329127000,0,329127000,3.04,3.04,108265000,108265000
"2025-03-31","JAYBHCR.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",0,418000,-418000,0,2325000,126000,2451000,0,2451000,2869000,0,0,0,68000,-9170000,-9238000,6369000,-2869000,-6369000,-9238000,836000,-10074000,0,0,-10074000,0,-10074000,-2.01,-2.01,5012000,5012000
"2025-03-31","JAYCH.BO","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",168900000,151685000,17176000,0,8687000,4124000,12811000,0,12811000,-177400000,-600000,0,600000,2600000,500000,-2100000,-6400000,-8375999,5714999,-2661000,0,-2661000,0,0,-2700000,0,-2700000,-0.09,-0.09,30000000,30000000
"2025-03-31","JAYIND.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",289804000,275301000,14503000,0,0,0,3424000,24338000,27762000,303063000,-8772000,0,8772000,9838000,99000,-9739000,-3520000,-13259000,-5252000,-18511000,536000,-19047000,0,0,-19047000,0,-19047000,-3.1,-3.1,6144193,6144193
"2025-03-31","JAYNECOIND.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",59997300000,26089400000,33907900000,0,3387093000,16112000,3278300000,-348193000,2930107000,29367700000,-5623800000,0,5623800000,2867400000,9396900000,6573590000,36902000,6610492000,0,1032000000,-94800000,1126800000,0,0,1126800000,0,1126800000,1.16,1.16,971379000,971379000
"2025-03-31","JAYNECOIND.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",59997300000,26089400000,33907900000,0,3387093000,16112000,3278300000,-348193000,2930107000,29367700000,-5623800000,0,5623800000,2867400000,9396900000,6573590000,36902000,6610492000,0,1032000000,-94800000,1126800000,0,0,1126800000,0,1126800000,1.16,1.16,971379000,971379000
"2025-03-31","JAYSREETEA.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",8581400000,4467600000,4113800000,4984000,24498000,106400000,130898000,2604818000,2740700000,7208300000,-385570000,8659000,394200000,233700000,1407600000,1173900000,0,1373100000,-593400000,779700000,-1700000,781400000,483700000,0,1265100000,0,715291000,24.77,24.77,28877488,28877488
"2025-03-31","JAYUSH.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",8551991000,6861494000,1690497000,13075000,731108000,3677000,592654000,882991000,1488720000,8350214000,-164991000,0,164991000,169929000,508051000,338122000,-136345000,201777000,-28646000,173131000,50549000,122582000,0,0,122582000,0,122582000,31.72,31.72,3864849,3864849
"2025-03-31","JBCHEPHARM.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",39179900000,13165500000,26014400000,448401000,362527000,4298205000,6876100000,-448401000,6876100000,20041600000,-117300000,0,117300000,1710400000,10318400000,8608000000,10530300000,19138300000,-10264400000,8873900000,2278100000,6595800000,0,0,6595800000,0,6595800000,42.45,41.56,158705000,158705000
